,team_name,tournament_name,minute_label,minute_regulation,minute_stoppage,Event
1680,Switzerland,2006 FIFA World Cup,55',55,0,2
1681,Switzerland,2006 FIFA World Cup,69',69,0,2
1682,South Korea,2006 FIFA World Cup,78',78,0,2
1683,South Korea,2006 FIFA World Cup,78',78,0,2
1684,South Korea,2006 FIFA World Cup,80',80,0,2
1685,Switzerland,2006 FIFA World Cup,82',82,0,2
1686,Switzerland,2006 FIFA World Cup,90',90,0,2
1687,France,2006 FIFA World Cup,30',30,0,2
1688,Togo,2006 FIFA World Cup,38',38,0,2
1689,Togo,2006 FIFA World Cup,44',44,0,2
1690,Togo,2006 FIFA World Cup,88',88,0,2
1691,Germany,2006 FIFA World Cup,27',27,0,2
1692,Sweden,2006 FIFA World Cup,28',28,0,2
1693,Sweden,2006 FIFA World Cup,35',35,0,1
1694,Sweden,2006 FIFA World Cup,48',48,0,2
1695,Sweden,2006 FIFA World Cup,78',78,0,2
1696,Argentina,2006 FIFA World Cup,45'+1',45,1,2
1697,Mexico,2006 FIFA World Cup,70',70,0,2
1698,Mexico,2006 FIFA World Cup,82',82,0,2
1699,Argentina,2006 FIFA World Cup,112',112,0,2
1700,Mexico,2006 FIFA World Cup,118',118,0,2
1701,Mexico,2006 FIFA World Cup,119',119,0,2
1702,England,2006 FIFA World Cup,18',18,0,2
1703,Ecuador,2006 FIFA World Cup,24',24,0,2
1704,Ecuador,2006 FIFA World Cup,37',37,0,2
1705,Ecuador,2006 FIFA World Cup,67',67,0,2
1706,England,2006 FIFA World Cup,78',78,0,2
1707,England,2006 FIFA World Cup,82',82,0,2
1708,Netherlands,2006 FIFA World Cup,2',2,0,2
1709,Netherlands,2006 FIFA World Cup,7',7,0,2
1710,Portugal,2006 FIFA World Cup,20',20,0,2
1711,Portugal,2006 FIFA World Cup,31',31,0,2
1712,Portugal,2006 FIFA World Cup,45'+1',45,1,1
1713,Portugal,2006 FIFA World Cup,50',50,0,2
1714,Netherlands,2006 FIFA World Cup,59',59,0,2
1715,Portugal,2006 FIFA World Cup,60',60,0,2
1716,Netherlands,2006 FIFA World Cup,63',63,0,1
1717,Portugal,2006 FIFA World Cup,73',73,0,2
1718,Netherlands,2006 FIFA World Cup,73',73,0,2
1719,Netherlands,2006 FIFA World Cup,74',74,0,2
1720,Portugal,2006 FIFA World Cup,76',76,0,2
1721,Portugal,2006 FIFA World Cup,76',76,0,2
1722,Portugal,2006 FIFA World Cup,78',78,0,1
1723,Netherlands,2006 FIFA World Cup,90'+5',90,5,1
1724,Australia,2006 FIFA World Cup,23',23,0,2
1725,Italy,2006 FIFA World Cup,29',29,0,2
1726,Australia,2006 FIFA World Cup,49',49,0,2
1727,Italy,2006 FIFA World Cup,50',50,0,3
1728,Australia,2006 FIFA World Cup,61',61,0,2
1729,Italy,2006 FIFA World Cup,89',89,0,2
1730,Italy,2006 FIFA World Cup,90'+1',90,1,2
1731,Switzerland,2006 FIFA World Cup,59',59,0,2
1732,Ghana,2006 FIFA World Cup,7',7,0,2
1733,Ghana,2006 FIFA World Cup,11',11,0,2
1734,Brazil,2006 FIFA World Cup,13',13,0,2
1735,Ghana,2006 FIFA World Cup,29',29,0,2
1736,Ghana,2006 FIFA World Cup,38',38,0,2
1737,Brazil,2006 FIFA World Cup,44',44,0,2
1738,Ghana,2006 FIFA World Cup,48',48,0,2
1739,Ghana,2006 FIFA World Cup,81',81,0,1
1740,France,2006 FIFA World Cup,68',68,0,2
1741,Spain,2006 FIFA World Cup,82',82,0,2
1742,France,2006 FIFA World Cup,87',87,0,2
1743,France,2006 FIFA World Cup,90'+1',90,1,2
1744,Germany,2006 FIFA World Cup,3',3,0,2
1745,Argentina,2006 FIFA World Cup,46',46,0,2
1746,Argentina,2006 FIFA World Cup,60',60,0,2
1747,Argentina,2006 FIFA World Cup,88',88,0,2
1748,Germany,2006 FIFA World Cup,94',94,0,2
1749,Argentina,2006 FIFA World Cup,95',95,0,2
1750,Germany,2006 FIFA World Cup,114',114,0,2
1751,Ukraine,2006 FIFA World Cup,16',16,0,2
1752,Ukraine,2006 FIFA World Cup,21',21,0,2
1753,Ukraine,2006 FIFA World Cup,67',67,0,2
1754,England,2006 FIFA World Cup,30',30,0,2
1755,Portugal,2006 FIFA World Cup,44',44,0,2
1756,England,2006 FIFA World Cup,62',62,0,3
1757,England,2006 FIFA World Cup,107',107,0,2
1758,Portugal,2006 FIFA World Cup,111',111,0,2
1759,Brazil,2006 FIFA World Cup,25',25,0,2
1760,Brazil,2006 FIFA World Cup,45',45,0,2
1761,Brazil,2006 FIFA World Cup,45'+2',45,2,2
1762,France,2006 FIFA World Cup,74',74,0,2
1763,Brazil,2006 FIFA World Cup,75',75,0,2
1764,France,2006 FIFA World Cup,87',87,0,2
1765,France,2006 FIFA World Cup,88',88,0,2
1766,Germany,2006 FIFA World Cup,40',40,0,2
1767,Germany,2006 FIFA World Cup,56',56,0,2
1768,Italy,2006 FIFA World Cup,90',90,0,2
1769,Portugal,2006 FIFA World Cup,83',83,0,2
1770,France,2006 FIFA World Cup,87',87,0,2
1771,Germany,2006 FIFA World Cup,7',7,0,2
1772,Portugal,2006 FIFA World Cup,24',24,0,2
1773,Portugal,2006 FIFA World Cup,33',33,0,2
1774,Portugal,2006 FIFA World Cup,60',60,0,2
1775,Germany,2006 FIFA World Cup,78',78,0,2
1776,Italy,2006 FIFA World Cup,5',5,0,2
1777,France,2006 FIFA World Cup,12',12,0,2
1778,France,2006 FIFA World Cup,76',76,0,2
1779,France,2006 FIFA World Cup,110',110,0,3
1780,France,2006 FIFA World Cup,111',111,0,2
1781,Mexico,2010 FIFA World Cup,18',18,0,2
1782,South Africa,2010 FIFA World Cup,27',27,0,2
1783,Mexico,2010 FIFA World Cup,57',57,0,2
1784,South Africa,2010 FIFA World Cup,70',70,0,2
1785,France,2010 FIFA World Cup,12',12,0,2
1786,France,2010 FIFA World Cup,19',19,0,2
1787,Uruguay,2010 FIFA World Cup,59',59,0,2
1788,Uruguay,2010 FIFA World Cup,65',65,0,2
1789,France,2010 FIFA World Cup,68',68,0,2
1790,Uruguay,2010 FIFA World Cup,81',81,0,1
1791,Uruguay,2010 FIFA World Cup,90'+3',90,3,2
1792,Greece,2010 FIFA World Cup,56',56,0,2
1793,Argentina,2010 FIFA World Cup,41',41,0,2
1794,Nigeria,2010 FIFA World Cup,77',77,0,2
1795,England,2010 FIFA World Cup,26',26,0,2
1796,United States,2010 FIFA World Cup,39',39,0,2
1797,United States,2010 FIFA World Cup,47',47,0,2
1798,England,2010 FIFA World Cup,60',60,0,2
1799,England,2010 FIFA World Cup,61',61,0,2
1800,United States,2010 FIFA World Cup,74',74,0,2
1801,Slovenia,2010 FIFA World Cup,35',35,0,2
1802,Algeria,2010 FIFA World Cup,59',59,0,2
1803,Algeria,2010 FIFA World Cup,73',73,0,1
1804,Slovenia,2010 FIFA World Cup,90'+3',90,3,2
1805,Algeria,2010 FIFA World Cup,90'+5',90,5,2
1806,Serbia,2010 FIFA World Cup,19',19,0,2
1807,Ghana,2010 FIFA World Cup,26',26,0,2
1808,Serbia,2010 FIFA World Cup,54',54,0,2
1809,Serbia,2010 FIFA World Cup,74',74,0,1
1810,Serbia,2010 FIFA World Cup,83',83,0,2
1811,Ghana,2010 FIFA World Cup,89',89,0,2
1812,Germany,2010 FIFA World Cup,12',12,0,2
1813,Australia,2010 FIFA World Cup,24',24,0,2
1814,Australia,2010 FIFA World Cup,46',46,0,2
1815,Australia,2010 FIFA World Cup,56',56,0,3
1816,Australia,2010 FIFA World Cup,58',58,0,2
1817,Germany,2010 FIFA World Cup,90'+2',90,2,2
1818,Netherlands,2010 FIFA World Cup,44',44,0,2
1819,Netherlands,2010 FIFA World Cup,49',49,0,2
1820,Denmark,2010 FIFA World Cup,63',63,0,2
1821,Cameroon,2010 FIFA World Cup,72',72,0,2
1822,Japan,2010 FIFA World Cup,90'+1',90,1,2
1823,Paraguay,2010 FIFA World Cup,62',62,0,2
1824,Italy,2010 FIFA World Cup,70',70,0,2
1825,New Zealand,2010 FIFA World Cup,42',42,0,2
1826,Slovakia,2010 FIFA World Cup,55',55,0,2
1827,New Zealand,2010 FIFA World Cup,90'+3',90,3,2
1828,Ivory Coast,2010 FIFA World Cup,7',7,0,2
1829,Ivory Coast,2010 FIFA World Cup,21',21,0,2
1830,Portugal,2010 FIFA World Cup,21',21,0,2
1831,Brazil,2010 FIFA World Cup,88',88,0,2
1832,Chile,2010 FIFA World Cup,4',4,0,2
1833,Chile,2010 FIFA World Cup,19',19,0,2
1834,Honduras,2010 FIFA World Cup,33',33,0,2
1835,Switzerland,2010 FIFA World Cup,30',30,0,2
1836,Switzerland,2010 FIFA World Cup,73',73,0,2
1837,Switzerland,2010 FIFA World Cup,90'+1',90,1,2
1838,Switzerland,2010 FIFA World Cup,90'+4',90,4,2
1839,South Africa,2010 FIFA World Cup,6',6,0,2
1840,South Africa,2010 FIFA World Cup,42',42,0,2
1841,South Africa,2010 FIFA World Cup,76',76,0,3
1842,South Korea,2010 FIFA World Cup,10',10,0,2
1843,South Korea,2010 FIFA World Cup,34',34,0,2
1844,Argentina,2010 FIFA World Cup,54',54,0,2
