,minute_regulation,match_id,player_id,family_name,given_name,Event
295,73,M-1982-52,P-07440,Stielike,Uli,2
296,88,M-1982-52,P-07890,Littbarski,Pierre,2
297,48,M-1986-01,P-02782,Bergomi,Giuseppe,2
298,51,M-1986-01,P-02309,Markov,Aleksandar,2
299,64,M-1986-01,P-06485,Cabrini,Antonio,2
300,4,M-1986-02,P-08255,Alberto,Julio,2
301,82,M-1986-02,P-09611,Branco,not applicable,2
302,44,M-1986-04,P-00466,Huh,Jung-moo,2
303,50,M-1986-04,P-00109,Park,Chang-sun,2
304,33,M-1986-06,P-09019,Timoumi,Mohamed,2
305,23,M-1986-07,P-08939,Sánchez,Hugo,2
306,56,M-1986-07,P-09901,Van der Elst,Franky,2
307,83,M-1986-07,P-05109,Muñoz,Carlos,2
308,36,M-1986-08,P-02768,Mansouri,Faouzi,2
309,58,M-1986-08,P-03010,Worthington,Nigel,2
310,78,M-1986-08,P-02965,McIlroy,Sammy,2
311,79,M-1986-08,P-08340,Whiteside,Norman,2
312,17,M-1986-09,P-08724,Fenwick,Terry,2
313,78,M-1986-09,P-01433,Butcher,Terry,2
314,88,M-1986-09,P-03452,Pacheco,Jaime,2
315,29,M-1986-10,P-01995,Shaker,Samir,2
316,45,M-1986-10,P-09112,Schettina,Vladimiro,2
317,28,M-1986-11,P-06828,Diogo,Víctor,2
318,62,M-1986-11,P-07119,Saralegui,Mario,2
319,84,M-1986-12,P-01847,Berggreen,Klaus,2
320,54,M-1986-13,P-02782,Bergomi,Giuseppe,2
321,58,M-1986-13,P-04235,Giusti,Ricardo,2
322,65,M-1986-13,P-02844,Garré,Oscar,2
323,30,M-1986-14,P-09895,Rats,Vasyl,2
324,33,M-1986-14,P-06559,Belanov,Ihor,2
325,40,M-1986-14,P-00718,Fernández,Luis,2
326,43,M-1986-14,P-06010,Amoros,Manuel,2
327,31,M-1986-15,P-00087,Kim,Joo-sung,2
328,49,M-1986-15,P-07230,Gospodinov,Zhivko,2
329,60,M-1986-15,P-04501,Cho,Young-jeung,2
330,52,M-1986-16,P-07384,Sweeney,Mike,2
331,83,M-1986-16,P-04019,Lenarduzzi,Bob,2
332,85,M-1986-16,P-07384,Sweeney,Mike,1
333,40,M-1986-18,P-06162,Wilkins,Ray,2
334,42,M-1986-18,P-06162,Wilkins,Ray,3
335,50,M-1986-18,P-04410,Khalifa,Labid,2
336,69,M-1986-18,P-04175,Hateley,Mark,2
337,76,M-1986-18,P-07796,Khairi,Abderrazak,2
338,5,M-1986-19,P-08262,Mendoza,Alfredo,2
339,26,M-1986-19,P-08019,Negrete,Manuel,2
340,30,M-1986-19,P-09112,Schettina,Vladimiro,2
341,75,M-1986-19,P-08939,Sánchez,Hugo,2
342,80,M-1986-19,P-09982,Trejo,Mario,2
343,50,M-1986-20,P-08454,Víctor,not applicable,2
344,85,M-1986-20,P-03858,Hamilton,Billy,2
345,46,M-1986-21,P-05105,Wójcicki,Roman,2
346,89,M-1986-21,P-06045,Dziekanowski,Dariusz,2
347,16,M-1986-22,P-09968,Claesen,Nico,2
348,20,M-1986-22,P-03086,Hammoudi,Raad,2
349,29,M-1986-22,P-08783,Shaker,Nadhim,2
350,42,M-1986-22,P-04573,Mohammed,Haris,2
351,48,M-1986-22,P-01995,Shaker,Samir,2
352,52,M-1986-22,P-00329,Gorgis,Basil,1
353,52,M-1986-22,P-00329,Gorgis,Basil,3
354,65,M-1986-22,P-01290,Hashim,Natiq,2
355,30,M-1986-23,P-06112,Archibald,Steve,2
356,44,M-1986-23,P-06735,Bannon,Eamonn,2
357,74,M-1986-23,P-07250,Malpas,Maurice,2
358,7,M-1986-24,P-03831,Nielsen,Ivan,2
359,13,M-1986-24,P-06539,Bossio,Miguel,2
360,19,M-1986-24,P-06539,Bossio,Miguel,1
361,35,M-1986-24,P-08870,da Silva,Jorge,2
362,41,M-1986-25,P-00840,Ayache,William,2
363,69,M-1986-25,P-06645,Rocheteau,Dominique,2
364,25,M-1986-27,P-00876,Cuciuffo,José Luis,2
